time;V(v_ov);V(vpow_dc);
5.94367;3.59137;16.4884;
5.95367;3.59138;16.5233;
5.96367;3.59139;16.5582;
5.97367;3.5914;16.5931;
5.98367;3.59141;16.628;
5.99367;3.59142;16.6629;
6.00367;3.59143;16.6978;
6.01367;3.59143;16.7327;
6.02367;3.59144;16.7676;
6.03367;3.59145;16.8025;
6.04367;3.59146;16.8375;
6.05367;3.59147;16.8724;
6.06367;3.59148;16.9073;
6.07367;3.59149;16.9422;
6.08367;3.5915;16.9771;
6.09367;3.59151;17.012;
6.10367;3.59152;17.0469;
6.11367;3.59154;17.0818;
6.12367;3.59155;17.1167;
6.13367;3.59156;17.1516;
6.14367;3.59157;17.1865;
6.15367;3.59158;17.2214;
6.16367;3.59159;17.2564;
6.17367;3.5916;17.2913;
6.18367;3.59161;17.3262;
6.19367;3.59162;17.3611;
6.20367;3.59163;17.396;
6.21367;3.59165;17.4309;
6.22367;3.59166;17.4658;
6.23367;3.59167;17.5007;
6.24367;3.59168;17.5356;
6.25367;3.59169;17.5706;
6.26367;3.59171;17.6055;
6.27367;3.59172;17.6404;
6.28367;3.59173;17.6753;
6.29367;3.59174;17.7102;
6.30367;3.59176;17.7451;
6.31367;3.59177;17.78;
6.32367;3.59178;17.8149;
6.33367;3.5918;17.8498;
6.34367;3.59181;17.8848;
6.35367;3.59183;17.9197;
6.36367;3.59184;17.9546;
6.37367;3.59186;17.9895;
6.38367;3.59187;18.0244;
6.39367;3.59189;18.0593;
6.40367;3.59191;18.0942;
6.41367;3.59192;18.1292;
6.42367;3.59194;18.1641;
6.43367;3.59196;18.199;
6.44367;3.59197;18.2339;
6.45367;3.59199;18.2688;
6.46367;3.59201;18.3037;
6.47367;3.59203;18.3386;
6.48367;3.59205;18.3736;
6.49367;3.59207;18.4085;
6.50367;3.59209;18.4434;
6.51367;3.59211;18.4783;
6.52367;3.59214;18.5132;
6.53367;3.59216;18.5481;
6.54367;3.59218;18.583;
6.55367;3.59221;18.618;
6.56367;3.59223;18.6529;
6.57367;3.59226;18.6878;
6.58367;3.59228;18.7227;
6.59367;3.59231;18.7576;
6.60367;3.59234;18.7925;
6.61367;3.59237;18.8274;
6.62367;3.5924;18.8624;
6.63367;3.59243;18.8973;
6.64367;3.59246;18.9322;
6.65367;3.5925;18.9671;
6.66367;3.59253;19.002;
6.67367;3.59257;19.0369;
6.68367;3.5926;19.0719;
6.69367;3.59264;19.1068;
6.70367;3.59268;19.1417;
6.71367;3.59272;19.1766;
6.72367;3.59276;19.2115;
6.73367;3.59281;19.2464;
6.74367;3.59285;19.2814;
6.75367;3.5929;19.3163;
6.76367;3.59295;19.3512;
6.77367;3.593;19.3861;
6.78367;3.59305;19.421;
6.79367;3.5931;19.456;
6.80367;3.59316;19.4909;
6.81367;3.59321;19.5258;
6.82367;3.59327;19.5607;
6.83367;3.59333;19.5956;
6.84367;3.5934;19.6305;
6.85367;3.59346;19.6655;
6.86367;3.59353;19.7004;
6.87367;3.5936;19.7353;
6.88367;3.59367;19.7702;
6.89367;3.59375;19.8051;
6.90367;3.59383;19.8401;
6.91367;3.59391;19.875;
6.92367;3.59399;19.9099;
6.93367;3.59407;19.9448;
6.94367;3.59416;19.9797;
6.95367;3.59425;20.0147;
6.96367;3.59435;20.0496;
6.97367;3.59444;20.0845;
6.98367;3.59454;20.1194;
6.99367;3.59465;20.1543;
7.00367;3.59475;20.1893;
7.01367;3.59486;20.2242;
7.02367;3.59498;20.2591;
7.03367;3.59509;20.294;
7.04367;3.59521;20.3289;
7.05367;3.59534;20.3639;
7.06367;3.59547;20.3988;
7.07367;3.5956;20.4337;
7.08367;3.59573;20.4686;
7.09367;3.59587;20.5036;
7.10367;3.59601;20.5385;
7.11367;3.59616;20.5734;
7.12367;3.59631;20.6083;
7.13367;3.59647;20.6432;
7.14367;3.59663;20.6782;
7.15367;3.59679;20.7131;
7.16367;3.59696;20.748;
7.17367;3.59713;20.7829;
7.18367;3.59731;20.8179;
7.19367;3.59749;20.8528;
7.20367;3.59767;20.8877;
7.21367;3.59786;20.9226;
7.22367;3.59806;20.9575;
7.23367;3.59826;20.9925;
7.24367;3.59846;21.0274;
7.25367;3.59867;21.0623;
7.26367;3.59889;21.0972;
7.27367;3.59911;21.1322;
7.28367;3.59933;21.1671;
7.29367;3.59956;21.202;
7.30367;3.5998;21.2369;
7.31367;3.60004;21.2719;
7.32367;3.60028;21.3068;
7.33367;3.60053;21.3417;
7.34367;3.60079;21.3766;
7.35367;3.60105;21.4116;
7.36367;3.60132;21.4465;
7.37367;3.60159;21.4814;
7.38367;3.60186;21.5163;
7.39367;3.60215;21.5512;
7.40367;3.60243;21.5862;
7.41367;3.60273;21.6211;
7.42367;3.60303;21.656;
7.43367;3.60333;21.6909;
7.44367;3.60364;21.7259;
7.45367;3.60396;21.7608;
7.46367;3.60428;21.7957;
7.47367;3.6046;21.8306;
7.48367;3.60494;21.8656;
7.49367;3.60527;21.9005;
7.50367;3.60562;21.9354;
7.51367;3.60597;21.9703;
7.52367;3.60632;22.0053;
7.53367;3.60668;22.0402;
7.54367;3.60705;22.0751;
7.55367;3.60742;22.1101;
7.56367;3.6078;22.145;
7.57367;3.60818;22.1799;
7.58367;3.60857;22.2148;
7.59367;3.60896;22.2498;
7.60367;3.60936;22.2847;
7.61367;3.60977;22.3196;
7.62367;3.61018;22.3545;
7.63367;3.6106;22.3895;
7.64367;3.61102;22.4244;
7.65367;3.61145;22.4593;
7.66367;3.61189;22.4942;
7.67367;3.61233;22.5292;
7.68367;3.61277;22.5641;
7.69367;3.61322;22.599;
7.70367;3.61368;22.634;
7.71367;3.61414;22.6689;
7.72367;3.61461;22.7038;
7.73367;3.61509;22.7387;
7.74367;3.61556;22.7737;
7.75367;3.61605;22.8086;
7.76367;3.61654;22.8435;
7.77367;3.61704;22.8784;
7.78367;3.61754;22.9134;
7.79367;3.61804;22.9483;
7.80367;3.61856;22.9832;
7.81367;3.61907;23.0182;
7.82367;3.6196;23.0531;
7.83367;3.62013;23.088;
7.84367;3.62066;23.1229;
7.85367;3.6212;23.1579;
7.86367;3.62174;23.1928;
7.87367;3.62229;23.2277;
7.88367;3.62285;23.2627;
7.89367;3.62341;23.2976;
7.90367;3.62397;23.3325;
7.91367;3.62454;23.3674;
7.92367;3.62512;23.4024;
7.93367;3.6257;23.4373;
7.94367;3.62628;23.4722;
7.95367;3.62688;23.5072;
7.96367;3.62747;23.5421;
7.97367;3.62807;23.577;
7.98367;3.62868;23.612;
7.99367;3.62929;23.6469;
8.00367;3.6299;23.6818;
8.01367;3.63052;23.7167;
8.02367;3.63115;23.7517;
8.03367;3.63178;23.7866;
8.04367;3.63241;23.8215;
8.05367;3.63305;23.8565;
8.06367;3.63369;23.8914;
8.07367;3.63434;23.9263;
8.08367;3.63499;23.9613;
8.09367;3.63565;23.9962;
8.10367;3.63631;24.0311;
8.11367;3.63698;24.066;
8.12367;3.63764;24.101;
8.13367;3.63832;24.1359;
8.14367;3.639;24.1708;
8.15367;3.63968;24.2058;
8.16367;3.64036;24.2407;
8.17367;3.64105;24.2756;
8.18367;3.64175;24.3106;
8.19367;3.64245;24.3455;
8.20367;3.64315;24.3804;
8.21367;3.64385;24.4154;
8.22367;3.64456;24.4503;
8.23367;3.64527;24.4852;
8.24367;3.64599;24.5202;
8.25367;3.64671;24.5551;
8.26367;3.64743;24.59;
8.27367;3.64815;24.6249;
8.28367;3.64888;24.6599;
8.29367;3.64961;24.6948;
8.30367;3.65034;24.7297;
8.31367;3.65108;24.7647;
8.32367;3.65181;24.7996;
8.33367;3.65255;24.8345;
8.34367;3.6533;24.8695;
8.35367;3.65404;24.9044;
8.36367;3.65478;24.9393;
8.37367;3.65553;24.9743;
8.38367;3.65628;25.0092;
8.39367;3.65702;25.0441;
8.40367;3.65777;25.0791;
8.41367;3.65852;25.114;
8.42367;3.65927;25.1489;
8.43367;3.66001;25.1839;
8.44367;3.66076;25.2188;
8.45367;3.6615;25.2537;
8.46367;3.66225;25.2887;
8.47367;3.66299;25.3236;
8.48367;3.66372;25.3585;
8.49367;3.66446;25.3935;
8.50367;3.66519;25.4284;
8.51367;3.66591;25.4633;
8.52367;3.66663;25.4983;
8.53367;3.66734;25.5332;
8.54367;3.66804;25.5681;
8.55367;3.66874;25.6031;
8.56367;3.66942;25.638;
8.57367;3.6701;25.6729;
8.58367;3.67076;25.7079;
